Satellite,Epoch Time,Parameter,Value
G05,2025-03-11 12:00:00,SVclockBias,-0.000204220414162
G05,2025-03-11 12:00:00,SVclockDrift,-1.02318153949e-12
G05,2025-03-11 12:00:00,SVclockDriftRate,0.0
G05,2025-03-11 12:00:00,IODE,33.0
G05,2025-03-11 12:00:00,Crs,53.125
G05,2025-03-11 12:00:00,DeltaN,4.40411202037e-09
G05,2025-03-11 12:00:00,M0,-0.588327030891
G05,2025-03-11 12:00:00,Cuc,2.88896262646e-06
G05,2025-03-11 12:00:00,Eccentricity,0.0056094666943
G05,2025-03-11 12:00:00,Cus,2.55554914474e-06
G05,2025-03-11 12:00:00,sqrtA,5153.7617588
G05,2025-03-11 12:00:00,Toe,216000.0
G05,2025-03-11 12:00:00,Cic,-8.56816768646e-08
G05,2025-03-11 12:00:00,Omega0,-2.11533473344
G05,2025-03-11 12:00:00,Cis,5.77419996262e-08
G05,2025-03-11 12:00:00,Io,0.975242344541
G05,2025-03-11 12:00:00,Crc,338.15625
G05,2025-03-11 12:00:00,omega,1.31825731528
G05,2025-03-11 12:00:00,OmegaDot,-8.39463538454e-09
G05,2025-03-11 12:00:00,IDOT,3.25727853587e-10
G05,2025-03-11 12:00:00,CodesL2,1.0
G05,2025-03-11 12:00:00,GPSWeek,2357.0
G05,2025-03-11 12:00:00,L2Pflag,0.0
G05,2025-03-11 12:00:00,SVacc,2.0
G05,2025-03-11 12:00:00,health,0.0
G05,2025-03-11 12:00:00,TGD,-1.07102096081e-08
G05,2025-03-11 12:00:00,IODC,33.0
G05,2025-03-11 12:00:00,TransTime,208818.0
G05,2025-03-11 12:00:00,FitIntvl,4.0
G19,2025-03-11 12:00:00,SVclockBias,0.00060698762536
G19,2025-03-11 12:00:00,SVclockDrift,4.09272615798e-12
G19,2025-03-11 12:00:00,SVclockDriftRate,0.0
G19,2025-03-11 12:00:00,IODE,46.0
G19,2025-03-11 12:00:00,Crs,-24.71875
G19,2025-03-11 12:00:00,DeltaN,4.49483008486e-09
G19,2025-03-11 12:00:00,M0,0.95208461906
G19,2025-03-11 12:00:00,Cuc,-1.40257179737e-06
G19,2025-03-11 12:00:00,Eccentricity,0.0102399585303
G19,2025-03-11 12:00:00,Cus,8.77864658833e-06
G19,2025-03-11 12:00:00,sqrtA,5153.61568069
G19,2025-03-11 12:00:00,Toe,216000.0
G19,2025-03-11 12:00:00,Cic,2.57045030594e-07
G19,2025-03-11 12:00:00,Omega0,2.22514496471
G19,2025-03-11 12:00:00,Cis,1.30385160446e-08
G19,2025-03-11 12:00:00,Io,0.963579537367
G19,2025-03-11 12:00:00,Crc,209.5
G19,2025-03-11 12:00:00,omega,2.72402270936
G19,2025-03-11 12:00:00,OmegaDot,-8.00926218935e-09
G19,2025-03-11 12:00:00,IDOT,-7.1324399519e-10
G19,2025-03-11 12:00:00,CodesL2,1.0
G19,2025-03-11 12:00:00,GPSWeek,2357.0
G19,2025-03-11 12:00:00,L2Pflag,0.0
G19,2025-03-11 12:00:00,SVacc,2.0
G19,2025-03-11 12:00:00,health,0.0
G19,2025-03-11 12:00:00,TGD,-1.53668224812e-08
G19,2025-03-11 12:00:00,IODC,46.0
G19,2025-03-11 12:00:00,TransTime,208818.0
G19,2025-03-11 12:00:00,FitIntvl,4.0
G20,2025-03-11 11:59:44,SVclockBias,0.000365748535842
G20,2025-03-11 11:59:44,SVclockDrift,-2.27373675443e-13
G20,2025-03-11 11:59:44,SVclockDriftRate,0.0
G20,2025-03-11 11:59:44,IODE,17.0
G20,2025-03-11 11:59:44,Crs,76.5
G20,2025-03-11 11:59:44,DeltaN,4.71805366873e-09
G20,2025-03-11 11:59:44,M0,-2.65348105266
G20,2025-03-11 11:59:44,Cuc,3.99723649025e-06
G20,2025-03-11 11:59:44,Eccentricity,0.0036389984889
G20,2025-03-11 11:59:44,Cus,2.85916030407e-06
G20,2025-03-11 11:59:44,sqrtA,5153.72261047
G20,2025-03-11 11:59:44,Toe,215984.0
G20,2025-03-11 11:59:44,Cic,5.58793544769e-09
G20,2025-03-11 11:59:44,Omega0,-2.24918884258
G20,2025-03-11 11:59:44,Cis,-7.82310962677e-08
G20,2025-03-11 11:59:44,Io,0.957509534767
G20,2025-03-11 11:59:44,Crc,321.5
G20,2025-03-11 11:59:44,omega,-2.28413706457
G20,2025-03-11 11:59:44,OmegaDot,-8.40535011657e-09
G20,2025-03-11 11:59:44,IDOT,3.78587198248e-10
G20,2025-03-11 11:59:44,CodesL2,1.0
G20,2025-03-11 11:59:44,GPSWeek,2357.0
G20,2025-03-11 11:59:44,L2Pflag,0.0
G20,2025-03-11 11:59:44,SVacc,2.0
G20,2025-03-11 11:59:44,health,0.0
G20,2025-03-11 11:59:44,TGD,-8.38190317154e-09
G20,2025-03-11 11:59:44,IODC,17.0
G20,2025-03-11 11:59:44,TransTime,211356.0
G20,2025-03-11 11:59:44,FitIntvl,4.0
G17,2025-03-11 12:00:00,SVclockBias,0.000384395010769
G17,2025-03-11 12:00:00,SVclockDrift,-1.9213075575e-11
G17,2025-03-11 12:00:00,SVclockDriftRate,0.0
G17,2025-03-11 12:00:00,IODE,36.0
G17,2025-03-11 12:00:00,Crs,-19.03125
G17,2025-03-11 12:00:00,DeltaN,4.53376027789e-09
G17,2025-03-11 12:00:00,M0,-0.921899277971
G17,2025-03-11 12:00:00,Cuc,-1.03749334812e-06
G17,2025-03-11 12:00:00,Eccentricity,0.0131095936522
G17,2025-03-11 12:00:00,Cus,9.19215381145e-06
G17,2025-03-11 12:00:00,sqrtA,5153.64294052
G17,2025-03-11 12:00:00,Toe,216000.0
G17,2025-03-11 12:00:00,Cic,-1.60187482834e-07
G17,2025-03-11 12:00:00,Omega0,2.18098413314
G17,2025-03-11 12:00:00,Cis,-3.53902578354e-08
G17,2025-03-11 12:00:00,Io,0.964328067198
G17,2025-03-11 12:00:00,Crc,208.84375
G17,2025-03-11 12:00:00,omega,-1.22576279389
G17,2025-03-11 12:00:00,OmegaDot,-8.21784230612e-09
G17,2025-03-11 12:00:00,IDOT,-5.66095008701e-10
G17,2025-03-11 12:00:00,CodesL2,1.0
G17,2025-03-11 12:00:00,GPSWeek,2357.0
