Satellite,Epoch Time,L1C,C1C
G05,2025-03-11 11:04:26,21121943.648,110996768.8141
G19,2025-03-11 11:04:26,21727214.859,114177559.8361
G20,2025-03-11 11:04:26,20583791.117,108168859.4591
G17,2025-03-11 11:04:26,24135431.016,126832517.8291
G12,2025-03-11 11:04:26,21916687.547,115172963.6901
G06,2025-03-11 11:04:26,22780231.617,119711104.3351
G09,2025-03-11 11:04:26,24512198.242,128812493.4111
G22,2025-03-11 11:04:26,25169627.633,132267290.0701
G13,2025-03-11 11:04:26,23216474.094,122003569.4931
G25,2025-03-11 11:04:26,23428552.391,123117876.1211
G15,2025-03-11 11:04:26,25398904.773,133472186.5441
G11,2025-03-11 11:04:26,21842867.539,114785245.7761
G05,2025-03-11 11:04:27,21121625.68,110995097.072
G19,2025-03-11 11:04:27,21727575.391,114179453.221
G20,2025-03-11 11:04:27,20583893.414,108169397.069
G17,2025-03-11 11:04:27,24135876.313,126834860.91
G12,2025-03-11 11:04:27,21916741.969,115173248.704
G06,2025-03-11 11:04:27,22780353.258,119711745.894
G09,2025-03-11 11:04:27,24512567.727,128814431.642
G22,2025-03-11 11:04:27,25170155.305,132270059.792
G13,2025-03-11 11:04:27,23215782.852,121999938.423
G25,2025-03-11 11:04:27,23428299.516,123116550.651
G15,2025-03-11 11:04:27,25398155.0,133468243.715
G11,2025-03-11 11:04:27,21842833.352,114785065.952
G05,2025-03-11 11:04:28,21121307.477,110993425.761
G19,2025-03-11 11:04:28,21727935.422,114181347.002
G20,2025-03-11 11:04:28,20583995.609,108169934.952
G17,2025-03-11 11:04:28,24136322.602,126837204.206
G12,2025-03-11 11:04:28,21916796.008,115173534.226
G06,2025-03-11 11:04:28,22780476.195,119712387.394
G09,2025-03-11 11:04:28,24512937.664,128816370.243
G22,2025-03-11 11:04:28,25170681.688,
G13,2025-03-11 11:04:28,23215091.305,121996307.301
G25,2025-03-11 11:04:28,23428047.828,123115225.71
G15,2025-03-11 11:04:28,25397403.859,133464300.678
G11,2025-03-11 11:04:28,21842799.055,114784886.09
G05,2025-03-11 11:04:29,21120989.578,110991754.956
G19,2025-03-11 11:04:29,21728296.078,114183241.226
G20,2025-03-11 11:04:29,20584098.391,108170473.173
G17,2025-03-11 11:04:29,24136769.563,126839547.819
G12,2025-03-11 11:04:29,21916850.57,115173820.339
G06,2025-03-11 11:04:29,22780597.313,119713028.912
G09,2025-03-11 11:04:29,24513306.969,128818309.305
G22,2025-03-11 11:04:29,25171208.742,
G13,2025-03-11 11:04:29,23214401.258,121992676.178
G25,2025-03-11 11:04:29,23427795.656,123113901.319
G15,2025-03-11 11:04:29,25396653.758,133460357.494
G11,2025-03-11 11:04:29,21842764.734,114784706.253
G05,2025-03-11 11:04:30,21120671.609,110990084.623
G19,2025-03-11 11:04:30,21728656.484,114185135.888
G20,2025-03-11 11:04:30,20584200.656,108171011.713
G17,2025-03-11 11:04:30,24137215.68,126841891.689
G12,2025-03-11 11:04:30,21916905.578,115174107.01
G06,2025-03-11 11:04:30,22780719.32,119713670.402
G09,2025-03-11 11:04:30,24513675.805,128820248.747
G22,2025-03-11 11:04:30,25171734.977,132278367.954
G13,2025-03-11 11:04:30,23213709.039,121989045.027
G25,2025-03-11 11:04:30,23427544.328,123112577.496
G15,2025-03-11 11:04:30,25395902.711,133456414.139
G11,2025-03-11 11:04:30,21842731.078,114784526.427
G05,2025-03-11 11:04:31,21120353.945,110988414.818
G19,2025-03-11 11:04:31,21729017.344,114187031.039
G20,2025-03-11 11:04:31,20584303.297,108171550.631
G17,2025-03-11 11:04:31,24137661.625,126844235.886
G12,2025-03-11 11:04:31,21916960.289,115174394.321
G06,2025-03-11 11:04:31,22780842.148,119714311.94
G09,2025-03-11 11:04:31,24514044.734,128822188.674
G22,2025-03-11 11:04:31,25172260.953,132281137.074
G13,2025-03-11 11:04:31,23213018.328,121985413.903
G25,2025-03-11 11:04:31,23427291.758,123111254.261
G15,2025-03-11 11:04:31,25395151.289,133452470.687
G11,2025-03-11 11:04:31,21842696.719,114784346.665
G05,2025-03-11 11:04:32,21120036.164,110986745.495
G19,2025-03-11 11:04:32,21729378.0,114188926.635
G20,2025-03-11 11:04:32,20584406.016,108172089.87
G17,2025-03-11 11:04:32,24138106.938,126846580.362
G12,2025-03-11 11:04:32,21917014.609,115174682.192
G06,2025-03-11 11:04:32,22780964.047,119714953.479
G09,2025-03-11 11:04:32,24514412.461,128824129.03
G22,2025-03-11 11:04:32,25172788.469,132283906.043
G13,2025-03-11 11:04:32,23212326.992,121981782.767
G25,2025-03-11 11:04:32,23427040.281,123109931.591
G15,2025-03-11 11:04:32,25394401.508,133448527.06
G11,2025-03-11 11:04:32,21842662.531,114784166.921
G05,2025-03-11 11:04:33,21119718.695,110985076.665
G19,2025-03-11 11:04:33,21729739.07,114190822.678
G20,2025-03-11 11:04:33,20584508.469,108172629.438
G17,2025-03-11 11:04:33,24138553.484,126848925.11
G12,2025-03-11 11:04:33,21917069.352,115174970.643
G06,2025-03-11 11:04:33,22781086.164,119715594.996
G09,2025-03-11 11:04:33,24514781.703,128826069.813
G22,2025-03-11 11:04:33,25173315.273,132286674.825
G13,2025-03-11 11:04:33,23211636.938,121978151.619
G25,2025-03-11 11:04:33,23426788.867,123108609.47
G15,2025-03-11 11:04:33,25393652.266,133444583.278
G11,2025-03-11 11:04:33,21842628.328,114783987.192
G05,2025-03-11 11:04:34,21119401.133,110983408.285
