GPS,Epoch Time,Parameter,Value
GPS02,2009-08-20,SVclockBias,0.000166430138051
GPS02,2009-08-20,SVclockDrift,2.38742359215e-12
GPS02,2009-08-20,SVclockDriftRate,0.0
GPS02,2009-08-20,IODE,19.0
GPS02,2009-08-20,Crs,41.03125
GPS02,2009-08-20,DeltaN,5.55023118941e-09
GPS02,2009-08-20,M0,-3.06550439127
GPS02,2009-08-20,Cuc,2.14949250221e-06
GPS02,2009-08-20,Eccentricity,0.00906386738643
GPS02,2009-08-20,Cus,4.95277345181e-06
GPS02,2009-08-20,sqrtA,5153.68638229
GPS02,2009-08-20,Toe,345600.0
GPS02,2009-08-20,Cic,-1.13621354103e-07
GPS02,2009-08-20,Omega0,-1.9149189679
GPS02,2009-08-20,Cis,6.33299350738e-08
GPS02,2009-08-20,Io,0.940602420826
GPS02,2009-08-20,Crc,274.65625
GPS02,2009-08-20,omega,2.88268544118
GPS02,2009-08-20,OmegaDot,-8.4714242974e-09
GPS02,2009-08-20,IDOT,3.27513642258e-10
GPS02,2009-08-20,CodesL2,1.0
GPS02,2009-08-20,GPSWeek,1545.0
GPS02,2009-08-20,L2Pflag,0.0
GPS02,2009-08-20,SVacc,2.0
GPS02,2009-08-20,health,0.0
GPS02,2009-08-20,TGD,-1.72294676304e-08
GPS02,2009-08-20,IODC,19.0
GPS02,2009-08-20,TransTime,344688.0
GPS02,2009-08-20,FitIntvl,4.0
