Satellite,Epoch Time,x,y,z
QZSS01,2021-03-19 00:00:00,-28924407.601471346,30704361.292435847,5142469.053667137
QZSS01,2021-03-19 01:00:00,-28923410.581684396,30705398.140006084,5139496.019092804
QZSS01,2021-03-19 02:00:00,-28921343.627448983,30707406.09567322,5137092.860314835
QZSS01,2021-03-19 03:00:00,-28919104.39961019,30709537.736185826,5135026.986404647
QZSS01,2021-03-19 04:00:00,-28917787.64123579,30710768.344009824,5133333.694927428
QZSS01,2021-03-19 05:00:00,-28917892.28595942,30710647.252429355,5132179.465081648
QZSS01,2021-03-19 06:00:00,-28918663.96955098,30709897.057249103,5131251.239754931
QZSS01,2021-03-19 09:00:00,-28920064.269380584,30708889.881580606,5136269.5262559075
QZSS01,2021-03-19 10:00:00,-28919867.76930684,30709518.906318508,5139671.153816305
QZSS01,2021-03-19 11:00:00,-28919205.400024343,30710559.439740572,5141398.853419298
QZSS01,2021-03-19 12:00:00,-28918591.579690147,30711364.734947324,5141533.517945204
QZSS01,2021-03-19 13:00:00,-28918499.4750643,30711430.742892742,5140741.183378562
QZSS01,2021-03-19 14:00:00,-28918589.32231401,30711240.03745776,5139590.870679673
QZSS01,2021-03-19 15:00:00,-28918393.702316087,30711394.192546163,5138459.932940456
QZSS01,2021-03-19 16:00:00,-28917404.97012767,30712429.972599257,5137378.142751987
QZSS01,2021-03-19 17:00:00,-28916489.80330274,30713427.644710254,5137608.465146298
QZSS01,2021-03-19 18:00:00,-28915700.35739748,30714271.81728323,5138584.307961717
QZSS01,2021-03-19 19:00:00,-28915149.217410095,30714827.114435587,5139398.186883251
QZSS01,2021-03-19 20:00:00,-28915314.86182165,30714649.693682764,5139984.148244941
QZSS01,2021-03-19 21:00:00,-28916622.188059684,30713366.60094439,5140737.460413411
QZSS01,2021-03-19 22:00:00,-28918503.65679424,30711566.719652604,5141311.473682873
QZSS01,2021-03-19 23:00:00,-28919915.40180656,30710249.218174104,5141317.78123338
QZSS01,2021-03-20 00:00:00,-28920204.556649785,30710016.09769237,5140659.2491160035
QZSS02,2021-03-19 00:00:00,-27390111.242357887,25483570.086208917,24300094.888688628
QZSS02,2021-03-19 01:00:00,-27382899.12654602,25491038.731949586,24300031.342809103
QZSS02,2021-03-19 02:00:00,-27377047.921698064,25494721.891356044,24302655.249510806
QZSS02,2021-03-19 03:00:00,-27377606.463382773,25492511.864049576,24304618.018951133
QZSS02,2021-03-19 04:00:00,-27380324.785174675,25486345.115829427,24308640.640679013
QZSS02,2021-03-19 05:00:00,-27382256.94140019,25479851.369599134,24313628.753107
QZSS02,2021-03-19 06:00:00,-27383529.152553797,25477755.766797855,24314246.361914754
QZSS02,2021-03-19 07:00:00,-27382107.44263925,25483554.9695437,24309839.93306585
QZSS02,2021-03-19 08:00:00,-27376652.44769749,25493670.92864306,24305862.87462504
QZSS02,2021-03-19 09:00:00,-27372473.03027269,25500323.433667205,24303932.67350068
QZSS02,2021-03-19 10:00:00,-27374298.585165173,25499189.459155343,24302614.92376358
QZSS02,2021-03-19 11:00:00,-27380861.683715116,25491934.428173177,24301497.982598927
QZSS02,2021-03-19 12:00:00,-27385695.237535782,25483745.697927937,24303125.464191996
QZSS02,2021-03-19 13:00:00,-27384867.960565977,25478667.41737265,24308397.544752162
QZSS02,2021-03-19 14:00:00,-27382807.954579484,25477919.723305337,24311317.718198027
QZSS02,2021-03-19 17:00:00,-27379491.98298303,25484667.444046095,24309158.916966397
QZSS02,2021-03-19 18:00:00,-27380211.188175704,25484264.45991101,24308723.12236182
QZSS02,2021-03-19 19:00:00,-27381513.53856829,25482524.222271945,24309159.390342508
QZSS02,2021-03-19 20:00:00,-27382631.824664675,25480394.076198783,24310316.50837916
QZSS02,2021-03-19 21:00:00,-27383587.51316059,25478773.526559047,24311059.30061126
QZSS02,2021-03-19 22:00:00,-27384365.675507944,25478422.684878252,24310477.471792452
QZSS02,2021-03-19 23:00:00,-27385138.009159703,25479660.173299458,24307994.6234695
QZSS02,2021-03-20 00:00:00,-27384940.144932207,25482384.0555662,24304988.41278979
QZSS03,2021-03-19 00:00:00,-31725935.760839082,15998936.424097763,-18091224.14665818
QZSS03,2021-03-19 01:00:00,-31718267.06614056,16002746.003794096,-18099351.4947603
QZSS03,2021-03-19 02:00:00,-31711474.756477665,16011067.870636132,-18102620.56574439
QZSS03,2021-03-19 03:00:00,-31707972.270403035,16018454.156833414,-18102017.113464847
QZSS03,2021-03-19 04:00:00,-31709618.305749457,16020580.730154483,-18098214.170520984
QZSS03,2021-03-19 05:00:00,-31715267.61754578,16015604.875899954,-18093838.55559562
QZSS03,2021-03-19 06:00:00,-31721665.408272494,16007890.628186187,-18089834.87462539
QZSS03,2021-03-19 07:00:00,-31724977.816260606,16004229.67701453,-18087219.59445626
QZSS03,2021-03-19 08:00:00,-31722865.697486475,16006709.450795472,-18088811.366177253
QZSS03,2021-03-19 09:00:00,-31717052.72970275,16013021.86413223,-18093841.499543436
QZSS03,2021-03-19 10:00:00,-31711797.59120334,16018987.989067147,-18098457.593004324
QZSS03,2021-03-19 11:00:00,-31710065.517150573,16019300.47060024,-18101290.134397008
QZSS03,2021-03-19 12:00:00,-31711918.359625395,16012317.778942594,-18102684.86038095
QZSS03,2021-03-19 13:00:00,-31715888.686860178,16003843.50206057,-18100765.62123744
QZSS03,2021-03-19 14:00:00,-31719941.227128565,15999448.615014726,-18095801.4894673
QZSS03,2021-03-19 15:00:00,-31722989.34820203,16000000.127069434,-18089662.297151413
QZSS03,2021-03-19 16:00:00,-31722873.843759287,16003022.488691172,-18087967.986081474
QZSS03,2021-03-19 17:00:00,-31721379.019403473,16007252.09874371,-18087820.376051165
QZSS03,2021-03-19 18:00:00,-31719444.728450134,16009639.95402667,-18089460.99822076
QZSS03,2021-03-19 19:00:00,-31718188.31974922,16010625.151706154,-18090719.74916599
QZSS03,2021-03-19 20:00:00,-31718484.001370333,16010327.193208484,-18090436.715351764
QZSS03,2021-03-19 21:00:00,-31720085.651422318,16008739.977481412,-18089260.42865827
QZSS03,2021-03-19 23:00:00,-31723285.485454634,16005483.684008745,-18087059.41821186
QZSS03,2021-03-20 00:00:00,-31722378.500807833,16004168.80001139,-18089462.400410865
QZSS07,2021-03-19 00:00:00,-25394898.62450627,33655899.81241159,49135.99844217731
QZSS07,2021-03-19 01:00:00,-25394551.48767338,33656161.72044961,49136.23002580288
QZSS07,2021-03-19 02:00:00,-25392513.948823888,33657699.8806724,49136.29414376158
QZSS07,2021-03-19 03:00:00,-25389657.752551112,33659859.56103662,49124.10639797909
QZSS07,2021-03-19 04:00:00,-25387528.67948629,33661478.415987924,49068.9537449404
QZSS07,2021-03-19 05:00:00,-25387334.31046271,33661626.73299683,48939.31949420761
QZSS07,2021-03-19 06:00:00,-25388970.685920395,33660338.38818687,48732.71111203693
QZSS07,2021-03-19 07:00:00,-25390974.244591318,33658715.93524791,48490.529567810976
QZSS07,2021-03-19 08:00:00,-25391488.294340063,33658291.43638049,48277.56040537442
QZSS07,2021-03-19 09:00:00,-25390016.416698538,33659604.86400198,48140.734382147275
QZSS07,2021-03-19 10:00:00,-25387845.137467068,33661628.37106839,48082.30463650354
QZSS07,2021-03-19 11:00:00,-25386615.965589985,33662826.85248395,48069.75454630914
QZSS07,2021-03-19 12:00:00,-25386866.644497193,33662570.991274394,48069.14494091681
QZSS07,2021-03-19 13:00:00,-25388352.71369605,33661026.116431944,48067.88343081127
QZSS07,2021-03-19 14:00:00,-25389870.384663727,33659433.92884808,48068.8932014656
QZSS07,2021-03-19 15:00:00,-25391467.214847803,33657796.595346265,48068.357466999965
QZSS07,2021-03-19 16:00:00,-25389379.020320337,33659855.93855555,48049.6445385047
QZSS07,2021-03-19 17:00:00,-25390285.577974938,33658997.52832338,47985.521292292935
QZSS07,2021-03-19 18:00:00,-25388629.10284612,33660460.91756689,47875.2795158395
QZSS07,2021-03-19 19:00:00,-25387553.078139905,33661357.01553236,47740.18675235728
QZSS07,2021-03-19 20:00:00,-25387041.276855186,33661764.66560055,47617.909900959734
QZSS07,2021-03-19 21:00:00,-25387257.17686959,33661599.43536301,47536.88019269848
QZSS07,2021-03-19 22:00:00,-25388172.11698633,33660905.686468855,47500.61988695716
QZSS07,2021-03-19 23:00:00,-25389431.52299088,33659954.751767665,47491.973609952016
QZSS07,2021-03-20 00:00:00,-25390629.452407915,33659051.01858883,47491.17092122492
QZSS01,2021-03-19 00:00:00,-28924407.601471346,30704361.292435847,5142469.053667137
QZSS01,2021-03-19 01:00:00,-28923410.581684396,30705398.140006084,5139496.019092804
QZSS01,2021-03-19 02:00:00,-28921343.627448983,30707406.09567322,5137092.860314835
QZSS01,2021-03-19 03:00:00,-28919104.39961019,30709537.736185826,5135026.986404647
QZSS01,2021-03-19 04:00:00,-28917787.64123579,30710768.344009824,5133333.694927428
QZSS01,2021-03-19 05:00:00,-28917892.28595942,30710647.252429355,5132179.465081648
QZSS01,2021-03-19 06:00:00,-28918663.96955098,30709897.057249103,5131251.239754931
QZSS01,2021-03-19 09:00:00,-28920064.269380584,30708889.881580606,5136269.5262559075
QZSS01,2021-03-19 10:00:00,-28919867.76930684,30709518.906318508,5139671.153816305
QZSS01,2021-03-19 11:00:00,-28919205.400024343,30710559.439740572,5141398.853419298
QZSS01,2021-03-19 12:00:00,-28918591.579690147,30711364.734947324,5141533.517945204
QZSS01,2021-03-19 13:00:00,-28918499.4750643,30711430.742892742,5140741.183378562
QZSS01,2021-03-19 14:00:00,-28918589.32231401,30711240.03745776,5139590.870679673
QZSS01,2021-03-19 15:00:00,-28918393.702316087,30711394.192546163,5138459.932940456
QZSS01,2021-03-19 16:00:00,-28917404.97012767,30712429.972599257,5137378.142751987
QZSS01,2021-03-19 17:00:00,-28916489.80330274,30713427.644710254,5137608.465146298
QZSS01,2021-03-19 18:00:00,-28915700.35739748,30714271.81728323,5138584.307961717
QZSS01,2021-03-19 19:00:00,-28915149.217410095,30714827.114435587,5139398.186883251
QZSS01,2021-03-19 20:00:00,-28915314.86182165,30714649.693682764,5139984.148244941
QZSS01,2021-03-19 21:00:00,-28916622.188059684,30713366.60094439,5140737.460413411
QZSS01,2021-03-19 22:00:00,-28918503.65679424,30711566.719652604,5141311.473682873
QZSS01,2021-03-19 23:00:00,-28919915.40180656,30710249.218174104,5141317.78123338
QZSS01,2021-03-20 00:00:00,-28920204.556649785,30710016.09769237,5140659.2491160035
QZSS02,2021-03-19 00:00:00,-27390111.242357887,25483570.086208917,24300094.888688628
QZSS02,2021-03-19 01:00:00,-27382899.12654602,25491038.731949586,24300031.342809103
QZSS02,2021-03-19 02:00:00,-27377047.921698064,25494721.891356044,24302655.249510806
QZSS02,2021-03-19 03:00:00,-27377606.463382773,25492511.864049576,24304618.018951133
QZSS02,2021-03-19 04:00:00,-27380324.785174675,25486345.115829427,24308640.640679013
QZSS02,2021-03-19 05:00:00,-27382256.94140019,25479851.369599134,24313628.753107
QZSS02,2021-03-19 06:00:00,-27383529.152553797,25477755.766797855,24314246.361914754
QZSS02,2021-03-19 07:00:00,-27382107.44263925,25483554.9695437,24309839.93306585
QZSS02,2021-03-19 08:00:00,-27376652.44769749,25493670.92864306,24305862.87462504
QZSS02,2021-03-19 09:00:00,-27372473.03027269,25500323.433667205,24303932.67350068
QZSS02,2021-03-19 10:00:00,-27374298.585165173,25499189.459155343,24302614.92376358
QZSS02,2021-03-19 11:00:00,-27380861.683715116,25491934.428173177,24301497.982598927
QZSS02,2021-03-19 12:00:00,-27385695.237535782,25483745.697927937,24303125.464191996
QZSS02,2021-03-19 13:00:00,-27384867.960565977,25478667.41737265,24308397.544752162
QZSS02,2021-03-19 14:00:00,-27382807.954579484,25477919.723305337,24311317.718198027
QZSS02,2021-03-19 17:00:00,-27379491.98298303,25484667.444046095,24309158.916966397
QZSS02,2021-03-19 18:00:00,-27380211.188175704,25484264.45991101,24308723.12236182
QZSS02,2021-03-19 19:00:00,-27381513.53856829,25482524.222271945,24309159.390342508
QZSS02,2021-03-19 20:00:00,-27382631.824664675,25480394.076198783,24310316.50837916
QZSS02,2021-03-19 21:00:00,-27383587.51316059,25478773.526559047,24311059.30061126
QZSS02,2021-03-19 22:00:00,-27384365.675507944,25478422.684878252,24310477.471792452
QZSS02,2021-03-19 23:00:00,-27385138.009159703,25479660.173299458,24307994.6234695
QZSS02,2021-03-20 00:00:00,-27384940.144932207,25482384.0555662,24304988.41278979
QZSS03,2021-03-19 00:00:00,-31725935.760839082,15998936.424097763,-18091224.14665818
QZSS03,2021-03-19 01:00:00,-31718267.06614056,16002746.003794096,-18099351.4947603
QZSS03,2021-03-19 02:00:00,-31711474.756477665,16011067.870636132,-18102620.56574439
QZSS03,2021-03-19 03:00:00,-31707972.270403035,16018454.156833414,-18102017.113464847
QZSS03,2021-03-19 04:00:00,-31709618.305749457,16020580.730154483,-18098214.170520984
QZSS03,2021-03-19 05:00:00,-31715267.61754578,16015604.875899954,-18093838.55559562
QZSS03,2021-03-19 06:00:00,-31721665.408272494,16007890.628186187,-18089834.87462539
QZSS03,2021-03-19 07:00:00,-31724977.816260606,16004229.67701453,-18087219.59445626
QZSS03,2021-03-19 08:00:00,-31722865.697486475,16006709.450795472,-18088811.366177253
QZSS03,2021-03-19 09:00:00,-31717052.72970275,16013021.86413223,-18093841.499543436
QZSS03,2021-03-19 10:00:00,-31711797.59120334,16018987.989067147,-18098457.593004324
QZSS03,2021-03-19 11:00:00,-31710065.517150573,16019300.47060024,-18101290.134397008
QZSS03,2021-03-19 12:00:00,-31711918.359625395,16012317.778942594,-18102684.86038095
QZSS03,2021-03-19 13:00:00,-31715888.686860178,16003843.50206057,-18100765.62123744
QZSS03,2021-03-19 14:00:00,-31719941.227128565,15999448.615014726,-18095801.4894673
QZSS03,2021-03-19 15:00:00,-31722989.34820203,16000000.127069434,-18089662.297151413
QZSS03,2021-03-19 16:00:00,-31722873.843759287,16003022.488691172,-18087967.986081474
QZSS03,2021-03-19 17:00:00,-31721379.019403473,16007252.09874371,-18087820.376051165
QZSS03,2021-03-19 18:00:00,-31719444.728450134,16009639.95402667,-18089460.99822076
QZSS03,2021-03-19 19:00:00,-31718188.31974922,16010625.151706154,-18090719.74916599
QZSS03,2021-03-19 20:00:00,-31718484.001370333,16010327.193208484,-18090436.715351764
QZSS03,2021-03-19 21:00:00,-31720085.651422318,16008739.977481412,-18089260.42865827
QZSS03,2021-03-19 23:00:00,-31723285.485454634,16005483.684008745,-18087059.41821186
QZSS03,2021-03-20 00:00:00,-31722378.500807833,16004168.80001139,-18089462.400410865
QZSS07,2021-03-19 00:00:00,-25394898.62450627,33655899.81241159,49135.99844217731
QZSS07,2021-03-19 01:00:00,-25394551.48767338,33656161.72044961,49136.23002580288
QZSS07,2021-03-19 02:00:00,-25392513.948823888,33657699.8806724,49136.29414376158
QZSS07,2021-03-19 03:00:00,-25389657.752551112,33659859.56103662,49124.10639797909
QZSS07,2021-03-19 04:00:00,-25387528.67948629,33661478.415987924,49068.9537449404
QZSS07,2021-03-19 05:00:00,-25387334.31046271,33661626.73299683,48939.31949420761
QZSS07,2021-03-19 06:00:00,-25388970.685920395,33660338.38818687,48732.71111203693
QZSS07,2021-03-19 07:00:00,-25390974.244591318,33658715.93524791,48490.529567810976
QZSS07,2021-03-19 08:00:00,-25391488.294340063,33658291.43638049,48277.56040537442
QZSS07,2021-03-19 09:00:00,-25390016.416698538,33659604.86400198,48140.734382147275
QZSS07,2021-03-19 10:00:00,-25387845.137467068,33661628.37106839,48082.30463650354
QZSS07,2021-03-19 11:00:00,-25386615.965589985,33662826.85248395,48069.75454630914
QZSS07,2021-03-19 12:00:00,-25386866.644497193,33662570.991274394,48069.14494091681
QZSS07,2021-03-19 13:00:00,-25388352.71369605,33661026.116431944,48067.88343081127
QZSS07,2021-03-19 14:00:00,-25389870.384663727,33659433.92884808,48068.8932014656
QZSS07,2021-03-19 15:00:00,-25391467.214847803,33657796.595346265,48068.357466999965
QZSS07,2021-03-19 16:00:00,-25389379.020320337,33659855.93855555,48049.6445385047
QZSS07,2021-03-19 17:00:00,-25390285.577974938,33658997.52832338,47985.521292292935
QZSS07,2021-03-19 18:00:00,-25388629.10284612,33660460.91756689,47875.2795158395
QZSS07,2021-03-19 19:00:00,-25387553.078139905,33661357.01553236,47740.18675235728
QZSS07,2021-03-19 20:00:00,-25387041.276855186,33661764.66560055,47617.909900959734
QZSS07,2021-03-19 21:00:00,-25387257.17686959,33661599.43536301,47536.88019269848
QZSS07,2021-03-19 22:00:00,-25388172.11698633,33660905.686468855,47500.61988695716
QZSS07,2021-03-19 23:00:00,-25389431.52299088,33659954.751767665,47491.973609952016
QZSS07,2021-03-20 00:00:00,-25390629.452407915,33659051.01858883,47491.17092122492
