GPS,Epoch Time,x,y,z
GPS01,2009-06-30,1651444.5000751552,-15983220.471486546,21103014.714892536
GPS01,2009-06-30 01:59:44,-5229382.523393439,-20340832.115871456,16250430.532028632
GPS01,2009-06-30 02:00:00,-6706525.930609624,-21395073.30840965,14246300.248593085
GPS01,2009-06-30 03:59:44,3187813.2737545203,19260750.54390334,-18030493.048258062
GPS01,2009-06-30 06:00:00,-12977449.582345711,-23232881.34136148,510862.0541804161
GPS01,2009-06-30 08:00:00,-5040282.497766352,8616248.72263971,-24683046.44506021
GPS01,2009-06-30 10:00:00,-15093844.870155513,-5578910.829589051,-21250055.090751324
GPS01,2009-06-30 12:00:00,19052590.81568079,17743475.07052611,4885484.446443217
GPS01,2009-06-30 14:00:00,-13418044.05090485,4357549.7992276065,-22603494.4803792
GPS01,2009-06-30 16:00:00,12133859.086575143,-5798290.1540242145,22814633.69084299
GPS01,2009-06-30 18:00:00,-17760921.84739188,-12442969.552827045,-15497432.074480815
GPS01,2009-06-30 20:00:00,18039127.421030693,16271096.211618423,10528885.707800932
GPS01,2009-06-30 22:00:00,13406786.062216787,22043518.499333225,-6155493.474125031
GPS01,2009-06-30 23:59:44,-5323420.0248651,-17532231.37440098,19202652.593360994
GPS02,2009-06-30,20189411.745946776,-14449274.9655781,-10066562.36629812
GPS02,2009-06-30 02:00:00,-19725998.371406715,1719109.5816011583,17468700.952722833
GPS02,2009-06-30 04:00:00,18538619.053510223,-14937666.898237046,-12271980.82214588
GPS02,2009-06-30 06:00:00,5332633.499101965,16318834.502122851,-20230805.466259334
GPS02,2009-06-30 07:59:44,19042006.367514744,-7367609.182387323,-17300354.38417664
GPS02,2009-06-30 08:00:00,15610333.020422198,-21733854.69357044,1219851.793279827
GPS02,2009-06-30 09:59:44,19367962.068753943,-15343128.685862591,-10369758.452250674
GPS02,2009-06-30 12:00:00,-7615895.978350472,-17585180.127626687,18456289.28611618
GPS02,2009-06-30 14:00:00,-12250459.74392817,-9569532.828718517,21489735.33449509
GPS02,2009-06-30 16:00:00,16141749.389293103,-10862600.633511765,-18357614.056858838
GPS02,2009-06-30 18:00:00,-13363568.606226088,21791240.59689489,6269748.967786469
GPS02,2009-06-30 20:00:00,9230124.048664665,-24923852.025136624,3250228.4400974717
GPS02,2009-06-30 22:00:00,-10995256.019790083,23597979.781409476,-4080318.75626032
GPS03,2009-06-30,24485998.007519804,9086892.01493763,3187460.1450432376
GPS03,2009-06-30 02:00:00,-25677391.88752026,-7106778.853998412,2076767.917597658
GPS03,2009-06-30 04:00:00,24501400.3958862,8753523.044895751,-4641598.076258912
GPS03,2009-06-30 05:59:44,-24949109.68084402,-8483081.93157116,4284698.832474194
GPS03,2009-06-30 06:00:00,16657173.659527287,-10299110.24259102,17468290.685689513
GPS03,2009-06-30 08:00:00,-3552249.072233223,18657511.598886613,-18866242.15940375
GPS03,2009-06-30 10:00:00,-12552977.562135516,14721825.169074593,-18598509.218080964
GPS03,2009-06-30 12:00:00,24014098.72151072,10809698.685584927,861176.5226203083
GPS03,2009-06-30 14:00:00,-7486506.002943634,17382093.818115756,-19026199.199353572
GPS03,2009-06-30 15:59:44,-6333833.050826147,-18644947.792633317,17543823.11288789
GPS03,2009-06-30 16:00:00,-26421673.615115914,-3634798.931789676,1760334.822384758
GPS03,2009-06-30 18:00:00,21737071.039207097,12365567.002942456,-8816812.36578282
GPS03,2009-06-30 20:00:00,2683070.9148854064,23839068.23495329,-11680872.188584393
GPS03,2009-06-30 22:00:00,3178410.268640865,-22976031.442889407,12613948.898022674
GPS04,2009-06-30,-7492375.806342504,-16058557.31817137,19536614.886366956
GPS04,2009-06-30 02:00:00,14394622.270264667,-22079581.167311992,-484546.3667078808
GPS04,2009-06-30 04:00:00,-9080540.813372193,23518578.231137924,-9062642.55292283
GPS04,2009-06-30 06:00:00,13966085.780997884,12422547.361127796,-19030749.25635557
GPS04,2009-06-30 08:00:00,7297217.617740165,-24218517.92952024,7332245.1842539385
GPS04,2009-06-30 10:00:00,10621308.90828819,11524108.076685056,-21637407.47689442
GPS04,2009-06-30 12:00:00,15394436.665413547,-15211358.488041036,-15247444.876353186
GPS04,2009-06-30 13:59:44,-11844682.346397648,23806840.724130947,-3141769.298290919
GPS04,2009-06-30 16:00:00,5584735.645188221,-22806119.397383314,11922472.288404305
GPS04,2009-06-30 18:00:00,-18584476.668779388,16346448.33416922,9949383.153675571
GPS04,2009-06-30 20:00:00,3136686.977022175,23562930.809331924,-12343448.12043625
GPS04,2009-06-30 22:00:00,17168624.20094353,-16818927.270367723,-11067724.919649553
GPS06,2009-06-30,-20738650.27906049,-13309483.532955931,10230088.753513774
GPS06,2009-06-30 01:59:44,-23426170.643078115,7795484.955795499,-9650574.202839842
GPS06,2009-06-30 02:00:00,13376897.493261274,-16374457.40695088,16278257.657846393
GPS06,2009-06-30 03:59:44,-25968544.817779344,-4053268.998164164,-3868982.9513690155
GPS06,2009-06-30 06:00:00,17953612.197009806,16655603.856014654,-9976379.54227292
GPS06,2009-06-30 08:00:00,25933054.054945435,-1247430.0512878068,5642514.180847128
GPS06,2009-06-30 10:00:00,15007591.571436053,-15972566.198490709,15197109.891283084
GPS06,2009-06-30 12:00:00,26108490.657194134,-2761351.0757824993,3973127.9343262822
GPS06,2009-06-30 14:00:00,-5558677.945872267,17412699.489784624,-19065282.363824647
GPS06,2009-06-30 16:00:00,19440097.866452347,14176727.842635863,-10959615.35150833
GPS06,2009-06-30 18:00:00,24972773.65871213,-6332182.903292645,6625739.980390031
GPS06,2009-06-30 20:00:00,362064.48147369904,23134923.953084853,-12716833.135244688
GPS06,2009-06-30 22:00:00,15461394.992129922,19201032.194179595,-9505767.510899626
GPS07,2009-06-30,-9193867.062925134,16754277.198428884,-18536148.871968124
GPS07,2009-06-30 02:00:00,8983782.597643942,-20711119.041828774,13859579.47728076
GPS07,2009-06-30 04:00:00,2459182.6088122795,-24781673.176668834,-9062454.390210075
GPS07,2009-06-30 06:00:00,10564755.662657745,-16905159.154312756,17454968.647818588
GPS07,2009-06-30 08:00:00,3971694.118135971,18126562.13261657,19045671.09211786
GPS07,2009-06-30 10:00:00,10423060.843480289,-16846876.332191337,17598084.777814582
GPS07,2009-06-30 12:00:00,-5223536.788682155,26089589.80857778,1101391.4097759682
GPS07,2009-06-30 14:00:00,159756.4181454477,-23890041.30353109,-11487492.730494881
GPS07,2009-06-30 16:00:00,13749185.917080915,-18961319.688912686,12376298.805237018
GPS07,2009-06-30 18:00:00,-10990251.474855537,20192794.35946869,-13439790.4131741
GPS07,2009-06-30 19:59:28,-8883700.149998453,-5882207.630100071,-24338240.27479858
GPS07,2009-06-30 20:00:00,5950713.617698574,14313112.25280575,21588739.50719735
GPS07,2009-06-30 21:59:28,-670302.2992626404,-19339727.255238455,-18139854.68176216
